woman_id,age,myth_injection_causes_infertility,myth_contraceptives_cause_health_problems,myth_contraceptives_harm_womb,myth_contraceptives_reduce_sexual_urge,myth_contraceptives_cause_cancer,myth_contraceptives_cause_deformed_babies,myth_contraceptives_are_dangerous
1,24.0,,,,,,,
2,25.0,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree
3,28.0,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree
4,19.0,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree
5,29.0,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree
6,31.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
7,33.0,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree
8,22.0,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree
9,22.0,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
11,35.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree
12,23.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
13,27.0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree
14,26.0,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
15,45.0,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree
16,44.0,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
17,47.0,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree
18,46.0,,,,,,,
19,40.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
20,18.0,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree
21,24.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree
22,46.0,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree
23,40.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree
24,20.0,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree
25,49.0,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
26,23.0,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
27,17.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
28,24.0,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree
29,28.0,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree
30,28.0,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree
31,28.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
32,20.0,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
33,28.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
34,17.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree
35,,,,,,,,
36,49.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
37,31.0,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
38,40.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
41,24.0,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
42,36.0,Disagree,Disagree,,Agree,Strongly Agree,Agree,Agree
43,42.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
44,36.0,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
47,41.0,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
48,24.0,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree
49,31.0,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree
50,20.0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
51,21.0,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree
52,25.0,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
53,46.0,,,,,,,
54,25.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree
56,24.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
58,23.0,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
60,17.0,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree
63,34.0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
64,18.0,,,,,,,
65,20.0,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree
66,24.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
67,22.0,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
68,20.0,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
69,28.0,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree
70,21.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
71,29.0,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
74,29.0,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree
75,26.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
76,39.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree
77,37.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
79,36.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
80,34.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
81,18.0,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree
82,29.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
83,,,,,,,,
84,27.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
85,41.0,,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree
86,47.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
87,41.0,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
88,22.0,Disagree,Agree,Disagree,Disagree,Disagree,,Strongly Disagree
89,22.0,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree
90,25.0,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree
91,36.0,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
92,15.0,Agree,Agree,Agree,Disagree,Agree,Agree,Agree
93,25.0,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
94,38.0,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree
95,22.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
96,28.0,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
97,46.0,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree
98,19.0,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree
99,22.0,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree
100,28.0,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
101,21.0,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree
102,45.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
103,24.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree
104,26.0,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
105,44.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
106,18.0,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
107,38.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
108,46.0,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree
110,27.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
111,20.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
112,48.0,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree
113,30.0,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
114,46.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
115,22.0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
116,32.0,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
117,20.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree
118,22.0,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
119,16.0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree
120,33.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree
121,15.0,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
122,26.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree
123,24.0,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
124,16.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
125,26.0,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
126,40.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
127,17.0,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree
128,22.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
129,,,,,,,,
130,40.0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree
131,26.0,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree
132,20.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
133,42.0,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree
134,16.0,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree
135,26.0,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
